Rating,Review Title,Review ,Customer Name,Date,Review ID
4,Works well,"The product works fine,it is maybe a little e",Philip,10-Oct-21,#7653
3,good enough,NaN,elena,5-Oct-21,NaN
5,Everyone should buy this,You should buy this.,Olivia,NaN,NaN
5,Amazing proudct,"Love everything about this product,it works g",John,5th October,NaN
1,this is terrible,The product never worked for me.,Paula,"44,491.00",#8563
2,Doesn't work,This doesn't work as advertised.,Lllie,NaN,NaN
4,cool work,"This workded well for me, Not 5 stars because t",DAVE,15-Sep-21,#4162
5,BEST THING EVER,"Go and buy this right now , it's amazing.",Pablo,NaN,NaN
5,Amazing proudct,"Love everything about this product,it works g",John,10/5/2021,#5675
5,Love this!!,I would 100% recommend this to everyone.,CARE,NaN,NaN
100,Hate this,This doesn't do anything for me.,Helen,15-Sep-21,NaN
3,Ok product,"It does what is has to do, but the user experienced.",emma,Mam,#7553
